date,sales,market_trend
2020-01-01,152.0,-0.04015795064434341
2020-01-02,142.1330459760538,-1.4709330527623916
2020-01-03,64.26608926211995,-1.3428286378516023
2020-01-04,156.39912716832282,-2.0238802953264834
2020-01-05,121.53215700501106,-1.1832367463377593
2020-01-06,70.6651760828695,-1.8358607256401502
2020-01-07,152.7981817130313,-2.28204415885493
2020-01-08,171.93117120719015,-4.171584889800461
2020-01-09,125.06414187771199,-4.623891209049538
2020-01-10,138.19709103774719,-7.047770535678495
2020-01-11,167.3300160013425,-8.631673359164218
2020-01-12,150.46291408355296,-7.871258703019921
2020-01-13,154.5957826005538,-7.0854585443690885
2020-01-14,181.7286188697523,-6.6600009825841235
2020-01-15,200.86142020989945,-7.626977125713337
2020-01-16,103.99418394120184,-7.674688481855316
2020-01-17,53.12690738543325,-7.678291020945885
2020-01-18,139.25958786604625,-8.836655710138427
2020-01-19,89.39222270828377,-7.333257408371276
2020-01-20,181.52480923929053,-6.455895117795604
2020-01-21,72.65734478822444,-6.676859291625268
2020-01-22,109.78982668636787,-6.6499734526307375
2020-01-23,73.92225226723892,-6.441590644683185
2020-01-24,141.05461886670247,-8.483325513107475
2020-01-25,101.18692382308116,-8.730502895628073
2020-01-26,111.31916447726648,-9.41248714362587
2020-01-27,67.45133817282942,-10.414107153520787
2020-01-28,103.58344225613114,-10.69520744640674
2020-01-29,160.7154740764337,-8.897520919557218
2020-01-30,107.84743098601044,-8.256678058290209
2020-01-31,116.97931034025625,-8.827857048073007
2020-02-01,184.11110949779788,-8.255274266716848
2020-02-02,104.242825820604,-6.855918830130846
2020-02-03,188.374456674095,-5.931285147218077
2020-02-04,74.50599942725299,-5.871654777297903
2020-02-05,126.6374514527312,-6.518591555003477
2020-02-06,71.76881012696366,-5.820368241389887
2020-02-07,185.90007283027444,-5.426882855968137
2020-02-08,143.03123694698675,-4.531689635940405
2020-02-09,114.16229986553215,-3.896517834258436
2020-02-10,68.29325897855912,-2.8469651189391008
2020-02-11,63.42411168304191,-3.3822003304996686
2020-02-12,144.55485538038886,-2.064806264865343
2020-02-13,107.68548747655082,-1.8672066601729433
2020-02-14,184.81600538212913,0.20805421245232214
2020-02-15,138.94640651248366,-0.4811336056372457
2020-02-16,147.07668828784034,1.2548301975280036
2020-02-17,166.20684813339878,1.4527409809906513
2020-02-18,63.3368834794396,0.801322977376203
